
"ID_REF"	"GSM1169222"	"GSM1169223"	"GSM1169224"	"GSM1169225"	"GSM1169226"	"GSM1169227"	"GSM1169228"	"GSM1169229"	"GSM1169230"	"GSM1169231"	"GSM1169232"	"GSM1169233"	"GSM1169234"	"GSM1169235"	"GSM1169236"	"GSM1169237"
"Contig0.1.A:105"	-0.327075921	-0.22583082	-0.368401257	-0.33083532	0.513218359	0.000287992	0.320491218	0.001543091	0.782752778	0.728311051	0.631202494	0.868163432	-0.539924319	-0.03974054	-0.512178668	-0.296239675
"Contig0.1.B:82"	-4.012283219	-4.03834879	-3.882157807	-4.10080813	-3.459984525	-3.54852254	-3.718323874	-3.660073823	-3.629427465	-3.695884297	-3.740052576	-3.438544853	-0.706105568	-1.649359906	-1.01107587	-1.556328387
"Contig0.3.A:1447"	0.177031826	-0.371153433	-0.287756717	-0.309243019	-0.162571361	-0.317273379	-0.025029204	-0.416280388	0.24579473	0.228754204	0.121538139	0.186185966	0.123213204	-0.014297107	0.038117241	0.118917837
"Contig0.3.B:15"	-0.519843765	-0.431015519	-0.419269125	-0.516868009	0.382585066	0.138076596	0.212216002	0.141418512	-0.972873391	-1.229351083	-1.144701138	-1.107547805	-0.242430134	-0.523197695	-0.36973377	-0.296091112
"Contig0.3.C:1932"	-1.920991379	-1.790647653	-1.688855846	-1.750885142	-0.801245368	-1.04585395	-0.775593824	-1.237110549	-0.621032575	-1.177242724	-1.281363568	0.517644405	-1.06355774	-1.114305767	-1.056834649	-1.201558547
"Contig0.3.D:500"	0.048016403	0.164483672	0.011152663	0.203882668	0.208646003	-0.09163152	0.009638673	0.1209757	-0.431571246	-1.134834798	-0.83541743	-0.643031734	-0.249804354	0.116812585	-0.363000716	-0.120873704
"Contig0.3.E:248"	-2.209633507	-2.009312548	-2.057066634	-2.622002464	-0.121909765	-1.128891513	-0.602980756	-0.167533441	-0.447137329	-0.818666741	-0.552126795	-0.552563358	-1.430932242	-1.746303129	-1.045660669	-1.344423939
"Contig0.3.F:3"	0.416565658	0.164931648	0.250908971	0.215398611	0.484790971	0.389086322	0.155543	0.110513828	0.729765339	0.518517567	0.484028924	0.598681598	-0.02115482	-0.095070862	0.139819412	0.008168029
"Contig0.4.A:156"	-1.563202585	-2.167317981	-1.704702704	0.164273513	-2.084901295	-2.291223141	-1.119373763	0.353275916	1.046134712	1.627865727	0.686239467	1.98029289	-0.06148124	0.716691913	1.022968851	-0.087044924
"Contig0.4.B:19"	-0.493956688	-0.344971379	-0.549591641	-0.214155138	0.247000335	-0.101460626	0.178383778	-0.04803319	-0.008158736	-0.166342224	0.204410737	-0.107010135	-0.338606431	-0.659339342	0.167543554	-0.361705035
"Contig0.4.C:395"	3.506226002	1.958961523	2.116524538	2.219809655	3.286368468	0.632457756	1.146314812		3.011147047	2.661078556		3.732656668	-0.526080217		0.355505947	-0.141966558
"Contig1.1.A:766"	0.642266621	0.521038754	0.123588456	0.396008618	-0.500985214	-0.714333252	-0.77678052	-0.902589071	1.862697635	1.28109838	1.975216354	1.830624294	0.156008561	0.80144414	0.090117133	0.092861627
"Contig1.1.B:163"	-1.225104798	-1.371357721	-1.67751158	-1.463708836	-1.172970871	-1.394554496	-1.024874913	-1.027342324	-0.168690393	-0.316868455	-0.226692814	0.056920276	-0.035040175	-0.366201309	-0.34992382	-0.378623829
"Contig1.1.C:1893"	0.050061406	0.150690979	0.21744194	0.307372826	-0.20524699	-0.184972426	-0.126137089	-0.098139554	0.496336729	0.67985351	0.250075739	0.974709531	-0.049077404	0.139666646	0.298482724	0.119231469
"Contig1.1.D:784"	0.271184375	0.085345342	-0.004471311	0.050664114	0.061717732	-0.005315753	-0.042085721	-0.026328236	-0.435921299	-0.573517069	-0.482990055	-0.542800898	-0.175826449	-0.26607901	-0.331436976	-0.244633422
"Contig1.2.A:494"	0.081354548	4.283615203	1.282013625	1.805327038	0.740499552	0.933657641	0.390761456	0.838893714	7.786626612	7.665633891	7.617450896	7.905817602	0.120335497	-0.044724403	-0.220188841	0.082989953
"Contig1.3.A:777"	-0.050969369	-0.071404793	-0.159905971	-0.097288593	0.749460948	0.692930229	0.808405832	0.719720678	-0.582307493	-0.614007924	-0.660101656	-0.519661082	-0.802512465	-0.896329699	-0.955013674	-1.03561679
"Contig1.3.B:1708"	-0.048234714	-0.140500924	-0.189243136	0.039659581	0.07572045	0.164166463	0.260267386	-0.033607543	-0.321411211	-0.2220616	-0.08409482	-0.00065831	0.099481573	-0.05144352	0.383012338	0.006385669
"Contig1.3.C:552"	0.114355696	0.102177905	-0.343969496	0.118389609	-0.007659345	-0.120020773	0.3192765	0.398230648	0.605998146	1.053009647	1.208096465	0.798451294	-0.05714341	-0.351759355	-0.468845812	-0.447692433
"Contig1.3.D:11"	-0.618031417	-1.02740936	-1.663782058	0.411768843	-3.019277161	-2.561844756	-1.163070086	-2.463169002				-2.866814335	-1.11520828	-1.06761608	-0.227101552	-2.948070116
"Contig1.3.E:39"	1.297610552	1.30696742	1.045775235	1.176653464	-0.241447355	0.04190042	-0.302586589	-0.314293398	0.973052585	0.993863009	1.208596667	1.274254898	-0.054495056	0.060734669	0.115051769	-0.068606676
"Contig10.2.A:664"	-0.242247418	-0.497831319	-1.01688577	-0.172341721	-0.388433731	-0.666193195	-0.381751249	0.152561038	0.335648999	0.574934465	0.601766465	0.471616157	-0.230542331	-0.124534944	0.141996129	0.271849595
"Contig10.2.B:890"	0.130419315	-0.082592624	0.281455506	-0.114181974	0.128736963	-0.096007202	-0.087020556	-0.033764959	0.508004155	0.102665183	0.218446217	0.122334484	-0.065844632	0.141857408	0.106154963	-0.047832907
"Contig10.5.A:903"	-0.153037927	1.010293095	-0.259189317	0.071422628	0.240914161	0.293482269	0.11264573		-0.233367925	0.05700961	0.317155375	0.626728914	0.554086424	-0.241920734	0.942037156	-0.940536532
"Contig10.6.A:321"	-0.637551163	-0.38649879	-0.806669095	-0.622780621	-1.604711932	-1.654709082	-1.571228737	-1.742664487	-0.059118572	-0.292185435	-0.546564249	0.269426252	0.319683819	0.83897222	0.68245236	0.189245604
"Contig10.6.B:278"	0.583588172	0.737272157	0.648309933	0.652515539	1.080512557	0.998580798	1.058931044	1.061104688	0.643412185	0.550285349	0.623371864	0.58828024	0.506543853	0.350273221	0.468899574	0.748972513
"Contig10.6.C:62"	-0.041207177	0.200617905	0.231059933	0.203480977	0.248019624	0.298263024	0.098111192	0.085638989	-0.474707551	-0.487580158	-0.774969017	-0.54894622	-0.167792555	-0.105034235	0.006227411	0.095628761
"Contig10.6.D:1069"	1.284021319	2.234014145	1.313180457	1.571297663	0.837710788	1.024466753	0.583410281	1.201423822	0.658210576	0.664437439	2.195928245	0.851850388	-2.142310583	-1.413949736	-1.892739877	-1.979066201
"Contig100.1.A:1995"	-0.300152156	-0.31147483	-0.353971139	-0.147973008	0.345159026	0.23347304	0.562225569	0.600747867	1.144089396	0.844051293	0.990115498	0.862845005	0.124302545	0.074095102	0.182602453	-0.005539125
"Contig101.1.A:479"	0.36345298	0.163653091	0.498590987	0.276023785	0.20146081	0.573281394	0.374607057	0.277441797	0.170768872	0.095593005	0.078813387	0.138884246	-0.14136749	-0.090891678	-0.226338884	-0.011946141
